"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2017-12-31 23:00:00","2018-01-01 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2637310,2637310,0.86504751443863,0,0
"2018-01-01 00:00:00","2018-01-01 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2786389,2786389,0.91394472122192,0,0
"2018-01-01 01:00:00","2018-01-01 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2888957,2888957,0.94758701324463,0,0
"2018-01-01 02:00:00","2018-01-01 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2905779,2905779,0.95310473442078,0,0
"2018-01-01 03:00:00","2018-01-01 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2907177,2907177,0.95356297492981,0,0
"2018-01-01 04:00:00","2018-01-01 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2878568,2878568,0.94417899847031,0,0
"2018-01-01 05:00:00","2018-01-01 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2768556,2768556,0.9080947637558,0,0
"2018-01-01 06:00:00","2018-01-01 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2568667,2568667,0.84253025054932,0,0
"2018-01-01 07:00:00","2018-01-01 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2439142,2439142,0.80004525184631,0,0
"2018-01-01 08:00:00","2018-01-01 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2528264,2528264,0.82927751541138,0,0
"2018-01-01 09:00:00","2018-01-01 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2702659,2702659,0.88647925853729,0,0
"2018-01-01 10:00:00","2018-01-01 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2777597,2777597,0.91105902194977,0,0
"2018-01-01 11:00:00","2018-01-01 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2740554,2740554,0.89890873432159,0,0
"2018-01-01 12:00:00","2018-01-01 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2509374,2509374,0.82308077812195,0,0
"2018-01-01 13:00:00","2018-01-01 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2004857,2004857,0.65759801864624,0,0
"2018-01-01 14:00:00","2018-01-01 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1240000,1240000,0.40672275424004,0,0
"2018-01-01 15:00:00","2018-01-01 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,637740,637740,0.20918025076389,0,0
"2018-01-01 16:00:00","2018-01-01 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,274242,274242,0.089951872825623,0,0
"2018-01-01 17:00:00","2018-01-01 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,209551,209551,0.06873320043087,0,0
"2018-01-01 18:00:00","2018-01-01 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,166292,166292,0.054544150829315,0,0
"2018-01-01 19:00:00","2018-01-01 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,148186,148186,0.04860532656312,0,0
"2018-01-01 20:00:00","2018-01-01 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,226221,226221,0.074200972914696,0,0
"2018-01-01 21:00:00","2018-01-01 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,345099,345099,0.11319299787283,0,0
"2018-01-01 22:00:00","2018-01-01 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,421828,421828,0.13836024701595,0,0
"2018-01-01 23:00:00","2018-01-02 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,488020,488020,0.16007125377655,0,0
"2018-01-02 00:00:00","2018-01-02 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,616173,616173,0.20210599899292,0,0
"2018-01-02 01:00:00","2018-01-02 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,669654,669654,0.21964775025845,0,0
"2018-01-02 02:00:00","2018-01-02 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,720338,720338,0.23627200722694,0,0
"2018-01-02 03:00:00","2018-01-02 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,850433,850433,0.27894324064255,0,0
